kelas,topik_id,nama_topik,kata_kunci,bobot
positif,1,Apresiasi dan Kepuasan Layanan,"mantap, bantu, baik, moga, aplikasi, terimakasih, proses, puas, cepat, coba",0.0740; 0.0539; 0.0534; 0.0420; 0.0272; 0.0247; 0.0241; 0.0211; 0.0210; 0.0171
positif,2,Keluhan Saldo dan Keamanan Akun,"tidak, saldo, tolong, pakai, uang, baik, akun, aman, belum, ribu",0.0771; 0.0275; 0.0241; 0.0236; 0.0153; 0.0152; 0.0144; 0.0143; 0.0123; 0.0107
positif,3,Pembelian Pulsa dan Promo Murah,"top, bagus, murah, up, top up, beli, pulsa, game, harga, gratis",0.0549; 0.0536; 0.0487; 0.0419; 0.0397; 0.0268; 0.0214; 0.0145; 0.0140; 0.0109
positif,4,Kemudahan Transaksi,"mudah, transaksi, cepat, aplikasi, keren, mudah transaksi, mantap, go, pay, pakai",0.1259; 0.0719; 0.0416; 0.0377; 0.0344; 0.0188; 0.0176; 0.0167; 0.0160; 0.0155
positif,5,Apresiasi Fitur Aplikasi,"fitur, good, layan, best, suka, the, the best, aplikasi, cocok, mudah",0.0370; 0.0370; 0.0300; 0.0293; 0.0293; 0.0260; 0.0227; 0.0206; 0.0192; 0.0188
positif,6,Ulasan demi Bonus Bintang,"kasih, terima, terima kasih, pinjam, tidak, bintang, aplikasi, tolong, kasih bintang, biar",0.0739; 0.0452; 0.0403; 0.0396; 0.0374; 0.0313; 0.0170; 0.0148; 0.0146; 0.0106
positif,7,Penilaian Umum Aplikasi,"bagus, aplikasi, bayar, tidak, aplikasi bagus, ribet, mudah, cepat, pake, suka",0.1003; 0.0822; 0.0399; 0.0368; 0.0294; 0.0257; 0.0209; 0.0186; 0.0166; 0.0155
positif,8,Transfer dan Manfaat Aplikasi,"aplikasi, transfer, lancar, bantu, transaksi, aman, uang, gratis, manfaat, bank",0.0373; 0.0373; 0.0321; 0.0310; 0.0303; 0.0289; 0.0250; 0.0215; 0.0174; 0.0167
negatif,1,Gangguan Top Up dan Saldo,"saldo, tidak, top, up, top up, belum, transfer, uang, saldo tidak, jam",0.0577; 0.0538; 0.0342; 0.0338; 0.0330; 0.0229; 0.0219; 0.0168; 0.0160; 0.0148
negatif,2,Cashback dan Saldo Hilang,"tidak, cashback, uang, top, up, hilang, top up, transaksi, aplikasi, cashback tidak",0.0808; 0.0318; 0.0160; 0.0144; 0.0140; 0.0139; 0.0138; 0.0124; 0.0111; 0.0110
negatif,3,Kegagalan Isi Ulang Saldo,"tidak, aplikasi, isi, ulang, aplikasi tidak, saldo, isi ulang, jangan, pake, ribu",0.0909; 0.0724; 0.0209; 0.0175; 0.0167; 0.0141; 0.0123; 0.0109; 0.0093; 0.0080
negatif,4,Promo dan Voucher Bermasalah,"tidak, promo, pas, voucher, bayar, aplikasi, wdp, beli, kode, dapet",0.0616; 0.0273; 0.0229; 0.0201; 0.0181; 0.0174; 0.0156; 0.0118; 0.0094; 0.0093
negatif,5,Kegagalan Transaksi dan Pinjaman Ditolak,"tidak, gagal, data, beli, transaksi, tolong, aju, tolak, saldo, pinjam",0.0234; 0.0222; 0.0189; 0.0189; 0.0171; 0.0168; 0.0148; 0.0145; 0.0144; 0.0143
negatif,6,Masalah Akun dan Pemblokiran,"tidak, akun, transfer, kasih, tolong, bintang, bantu, blokir, baik, saldo",0.0763; 0.0528; 0.0188; 0.0175; 0.0165; 0.0138; 0.0119; 0.0110; 0.0104; 0.0100
negatif,7,Keterlambatan dan Penagihan Pinjaman,"bayar, pinjam, tidak, aplikasi, telat, pakai, ribu, tolak, tagih, limit",0.0482; 0.0456; 0.0448; 0.0259; 0.0169; 0.0155; 0.0117; 0.0110; 0.0110; 0.0102
negatif,8,Aplikasi Error dan Gangguan Akses,"aplikasi, baik, ganggu, tidak, error, bagus, tolong, buka, mulu, tolong baik",0.0422; 0.0359; 0.0335; 0.0308; 0.0262; 0.0232; 0.0220; 0.0171; 0.0152; 0.0140
netral,1,Penilaian Campuran Aplikasi,"tidak, baik, aplikasi, pinjam, tolong, buka, bintang, bagus, dana, bayar",0.0316; 0.0283; 0.0267; 0.0250; 0.0179; 0.0138; 0.0135; 0.0134; 0.0125; 0.0113
netral,2,Promo dan Voucher,"tidak, promo, pas, bagus, bayar, voucher, wdp, pake, aplikasi, dapet",0.0673; 0.0149; 0.0147; 0.0140; 0.0132; 0.0117; 0.0102; 0.0097; 0.0085; 0.0079
netral,3,Top Up dan Saldo,"tidak, saldo, up, top, top up, transaksi, belum, aplikasi, uang, tolong",0.0468; 0.0267; 0.0200; 0.0198; 0.0195; 0.0190; 0.0187; 0.0172; 0.0146; 0.0138
