teks_bersih,label_asli,label_prediksi,benar
aplikasi kecewa kuota mb beli kuota go pay tidak saldo ribu,negatif,netral,False
isi ulang tidak bayar ojol tidak malu driver ragu pake,negatif,netral,False
error skrg transfer lapor duid tidak coba transfer bgtu jd transfer lapor duid belum hhmmff,negatif,netral,False
moga akun upgrade plus,positif,netral,False
sekrng aplikasi jelek lambat alas maaf ganggu teknis,positif,negatif,False
hadiah undang teman,positif,netral,False
gampang erti,positif,netral,False
moga bantu baik,netral,positif,False
admin baik,positif,netral,False
lebay updatenya bikin aplikasi lambat scan qris parah lot bikin malu pas bayar gamau transfer ewallet rekening biar bayar pake qris doang gabisa kah bikin ringan gitu kek bukan optimasi bikin lancar bikin fitur lebay bikin berat,negatif,netral,False
inti plenger,negatif,positif,False
ak kepeng uang,positif,netral,False
aplikasi konyol mlh aplikasi ngelag ngelag suka aplikasi parah aplikasi berat lancar buka nge lag hpnya berat aplikasi kocak,negatif,netral,False
saldo delay jam tidak buru buru platform,negatif,netral,False
tidak ngundang temen ribu undang temen ribu tidak kecewa tipu,positif,negatif,False
tidak manfaat,negatif,positif,False
tolong fitur jangan lelet aplikasi,negatif,netral,False
baguuss tidak ribet gampang kurang suka gift arena spin coin curang jirr spin an henti dadak hadiah tidak bagus jingg tolong,positif,negatif,False
knp tidak pake,negatif,positif,False
terimakasih cs dana gagal transfer,positif,negatif,False
daya claim coins coin tidak,negatif,netral,False
pulih akun kartu hilang,positif,negatif,False
promosi produk proposional baguus,positif,netral,False
aplikasi error bayar tidak deteksi ganggu,positif,negatif,False
aplikasi usak sistem telat bayar blacklist dri sistem cemar nama baik kotor nama tolong nama jangan nama jelek sistem,positif,netral,False
mudah limit jangn tetep limit,positif,netral,False
dapet diskon wdp pas jam pas dipake tidak,negatif,netral,False
aplikasi bagus mudah paham salah kait tukar kode voucher alam tukar kode voucher kode vouchernya beda tolong baik kait kode voucher kode bukan kode rebut kode klaim terima kasih,positif,netral,False
transaksi suka delay,netral,positif,False
pinjam muncul lacak ajja gituh,negatif,netral,False
mantap sayang tidak nomor ktp one by one,positif,netral,False
susah bilang,positif,negatif,False
ganggu tolong baik cepat,negatif,netral,False
aplikasi kesini error,negatif,netral,False
ribet error melulu,negatif,positif,False
saldo belum tunggu,netral,negatif,False
woi admin tolong baca chat top up wdp ml wdp,positif,negatif,False
saldo tidak transaksi transfer tolong bantu,negatif,netral,False
